Id,Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
5172,15200 BLOCK OF NE SANDY BLVD,23-171891,Property,Wilkes,30-06-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.55149859,-122.5055301,7688398,693540,30-06-2023,1
5173,5400 BLOCK OF SE WOODSTOCK BLVD,23-915309,Property,Woodstock,30-06-2023,300,Vandalism,Vandalism,45.47920765,-122.6070455,7661714,667853,30-06-2023,1
5174,2400 BLOCK OF SE 30TH AVE,23-171487,Property,Richmond,30-06-2023,1700,Vandalism,Vandalism,45.50514428,-122.6347743,7654854,677493,30-06-2023,1
5175,6100 BLOCK OF S MACADAM AVE,23-171575,Property,South Portland,30-06-2023,1600,Motor Vehicle Theft,Motor Vehicle Theft,45.47956541,-122.6729354,7644823,668431,30-06-2023,1
5176,600 BLOCK OF S NEVADA ST,23-915322,Property,South Portland,30-06-2023,1345,Larceny Offenses,All Other Larceny,45.47291981,-122.6720846,7644976,666003,30-06-2023,1
5177,7900 BLOCK OF SE ASPEN SUMMIT DR,23-915464,Property,Lents,30-06-2023,930,Motor Vehicle Theft,Motor Vehicle Theft,45.46567175,-122.5630222,7672876,662628,30-06-2023,1
5178,3800 BLOCK OF S BOND AVE,23-172237,Property,South Portland,30-06-2023,2100,Burglary,Burglary,45.49535409,-122.6709723,7645481,674172,30-06-2023,1
5179,200 BLOCK OF SE GRAND AVE,23-915321,Property,Buckman West,30-06-2023,1325,Vandalism,Vandalism,45.52114979,-122.6606555,7648377,683503,30-06-2023,1
5180,SW ST CLAIR AVE / SW KINGS CT,23-915306,Property,Goose Hollow,30-06-2023,855,Vandalism,Vandalism,45.51992376,-122.6968085,7639102,683306,30-06-2023,1
5181,2600 BLOCK OF NE 86TH AVE,23-171443,Property,Madison South,30-06-2023,530,Motor Vehicle Theft,Motor Vehicle Theft,45.54122204,-122.5739865,7670771,690237,30-06-2023,1
5182,3900 BLOCK OF NE 6TH AVE,23-171723,Property,King,30-06-2023,1253,Vandalism,Vandalism,45.55143378,-122.659653,7648929,694534,30-06-2023,1
5183,9200 BLOCK OF N CENTRAL ST,23-171605,Property,St Johns,30-06-2023,0,Larceny Offenses,All Other Larceny,45.59477151,-122.7563176,7624617,711006,30-06-2023,1
5184,SW 3RD AVE / SW ALDER ST,23-915319,Property,Downtown,30-06-2023,1320,Larceny Offenses,Theft From Motor Vehicle,45.51891961,-122.6751751,7644635,682790,30-06-2023,1
5185,8800 BLOCK OF SE FLAVEL ST,23-171766,Property,Lents,30-06-2023,2100,Larceny Offenses,Theft From Motor Vehicle,45.46846404,-122.572201,7670548,663706,30-06-2023,1
5186,1400 BLOCK OF NW JOHNSON ST,23-915211,Property,Pearl,30-06-2023,1025,Larceny Offenses,Shoplifting,45.52855548,-122.6858691,7641990,686376,30-06-2023,1
5187,0 BLOCK OF SW 1ST AVE,23-171526,Person,Old Town/Chinatown,30-06-2023,757,Assault Offenses,Simple Assault,45.52282119,-122.6712536,7645678,684185,30-06-2023,1
5188,4500 BLOCK OF SE WOODSTOCK BLVD,23-171521,Property,Woodstock,30-06-2023,745,Larceny Offenses,Shoplifting,45.47913443,-122.6159504,7659430,667886,30-06-2023,1
5189,10900 BLOCK OF NE WYGANT ST,23-172090,Society,Parkrose,30-06-2023,1955,Weapon Law Violations,Weapons Law Violations,45.55715059,-122.5501526,7677023,695887,30-06-2023,1
5190,0 BLOCK OF SE MARTIN LUTHER KING JR BLVD,23-915326,Property,Buckman West,30-06-2023,2200,Larceny Offenses,Theft From Motor Vehicle,45.5225791,-122.6618301,7648090,684032,30-06-2023,1
5191,0 BLOCK OF SE MARTIN LUTHER KING JR BLVD,23-171914,Property,Buckman West,30-06-2023,1634,Larceny Offenses,Theft From Motor Vehicle,45.5225791,-122.6618301,7648090,684032,30-06-2023,1
5192,,23-X5851879,Person,East Columbia,30-06-2023,500,Assault Offenses,Simple Assault,,,,,30-06-2023,1
5193,1300 BLOCK OF NW 11TH AVE,23-915333,Property,Pearl,30-06-2023,1159,Larceny Offenses,Theft From Building,45.53257517,-122.6825378,7642883,687818,30-06-2023,1
5194,800 BLOCK OF N COOK ST,23-915217,Property,Boise,30-06-2023,2145,Larceny Offenses,All Other Larceny,45.54696566,-122.6751567,7644915,693012,30-06-2023,1
5195,1100 BLOCK OF NE MARTIN LUTHER KING JR BLVD,23-171802,Property,Lloyd,30-06-2023,1444,Motor Vehicle Theft,Motor Vehicle Theft,45.5311548,-122.6617351,7648198,687157,30-06-2023,1
5196,7700 BLOCK OF SE 82ND AVE,23-171307,Property,Lents,30-06-2023,16,Arson,Arson,45.46709863,-122.5789786,7668797,663253,30-06-2023,1
5197,4600 BLOCK OF NE 40TH AVE,23-172236,Property,Beaumont-Wilshire,30-06-2023,2243,Larceny Offenses,All Other Larceny,45.55695407,-122.622371,7658529,696293,30-06-2023,1
5198,SE 6TH AVE / SE WASHINGTON ST,23-171826,Property,Buckman West,30-06-2023,1509,Motor Vehicle Theft,Motor Vehicle Theft,45.51864868,-122.6597213,7648592,682585,30-06-2023,1
5199,4600 BLOCK OF SE 122ND AVE,23-171468,Property,Powellhurst-Gilbert,30-06-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.48850643,-122.5376861,7679584,670786,30-06-2023,1
5200,2000 BLOCK OF NE 60TH AVE,23-171492,Property,Rose City Park,30-06-2023,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.53737562,-122.601623,7663656,689018,30-06-2023,1
5201,300 BLOCK OF NW GLISAN ST,23-171956,Person,Old Town/Chinatown,30-06-2023,1710,Assault Offenses,Simple Assault,45.5266237,-122.6740221,7645006,685590,30-06-2023,1
5202,N EXPO RD / N FORCE AVE,23-172145,Property,Kenton,30-06-2023,2051,Robbery,Robbery,45.60735248,-122.6920931,7641175,715139,30-06-2023,1
5203,1000 BLOCK OF SE 11TH AVE,23-915324,Property,Buckman West,30-06-2023,1540,Larceny Offenses,Theft From Building,45.51541939,-122.654607,7649871,681373,30-06-2023,1
5204,0 BLOCK OF NW 16TH AVE,23-915329,Property,Northwest,30-06-2023,700,Vandalism,Vandalism,45.52322475,-122.6871549,7641608,684442,30-06-2023,1
5205,,23-X5853802,Person,Arbor Lodge,30-06-2023,2230,Sex Offenses,Rape,,,,,30-06-2023,1
5206,9800 BLOCK OF SE WASHINGTON ST,23-915261,Property,Hazelwood,30-06-2023,1831,Larceny Offenses,Shoplifting,45.51828266,-122.5618114,7673676,681796,30-06-2023,1
5207,,23-X5852363,Person,Centennial,30-06-2023,2038,Assault Offenses,Intimidation,,,,,30-06-2023,1
5208,800 BLOCK OF SW 4TH AVE,23-915229,Property,Downtown,30-06-2023,1450,Larceny Offenses,Theft From Motor Vehicle,45.51750687,-122.677045,7644142,682288,30-06-2023,1
5209,,23-X5851985,Person,,30-06-2023,1535,Assault Offenses,Simple Assault,,,,,30-06-2023,1
5210,8700 BLOCK OF SE DIVISION ST,23-171770,Property,Montavilla,30-06-2023,1354,Larceny Offenses,Theft From Building,45.50465972,-122.5737595,7670487,676909,30-06-2023,1
5211,2400 BLOCK OF SE 87TH AVE,23-171659,Person,Montavilla,30-06-2023,1059,Assault Offenses,Aggravated Assault,45.50498205,-122.5742941,7670353,677030,30-06-2023,1
5212,13300 BLOCK OF NE GLISAN ST,23-915312,Property,Hazelwood,30-06-2023,2200,Fraud Offenses,Identity Theft,45.52637254,-122.5254542,7683066,684509,30-06-2023,1
5213,WB BURNSIDE BRG AT / WESTEND,23-171775,Person,,30-06-2023,830,Assault Offenses,Simple Assault,45.52307446,-122.6691751,7646213,684263,30-06-2023,1
5214,800 BLOCK OF SW 4TH AVE,23-915199,Property,Downtown,30-06-2023,730,Larceny Offenses,Theft From Motor Vehicle,45.51750687,-122.677045,7644142,682288,30-06-2023,1
5215,2700 BLOCK OF SE 50TH AVE,23-171479,Property,Richmond,30-06-2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.50297863,-122.611072,7660908,676544,30-06-2023,1
5216,1300 BLOCK OF NW LOVEJOY ST,23-171584,Property,Pearl,30-06-2023,924,Robbery,Robbery,45.53009099,-122.6849094,7642251,686929,30-06-2023,1
5217,1500 BLOCK OF SW SUNSET BLVD,23-915209,Property,Hillsdale,30-06-2023,2347,Vandalism,Vandalism,45.47933318,-122.6939482,7639433,668492,30-06-2023,1
5218,800 BLOCK OF SW 4TH AVE,23-915330,Property,Downtown,30-06-2023,1550,Vandalism,Vandalism,45.51750687,-122.677045,7644142,682288,30-06-2023,1
5219,1100 BLOCK OF NW OVERTON ST,23-915308,Property,Pearl,30-06-2023,550,Burglary,Burglary,45.53225692,-122.6829706,7642769,687705,30-06-2023,1
5220,1700 BLOCK OF NE 86TH AVE,23-915201,Property,Madison South,30-06-2023,1200,Larceny Offenses,All Other Larceny,45.53530221,-122.574551,7670571,688083,30-06-2023,1
5221,1500 BLOCK OF SE 51ST AVE,23-171421,Property,Mt Tabor,30-06-2023,412,Larceny Offenses,Theft From Motor Vehicle,45.51169523,-122.610319,7661184,679716,30-06-2023,1
5222,6400 BLOCK OF N INTERSTATE AVE,23-172037,Property,Arbor Lodge,30-06-2023,2106,Larceny Offenses,Theft From Building,45.5695264,-122.681975,7643391,701282,30-06-2023,1
5223,6700 BLOCK OF NE KILLINGSWORTH ST,23-172255,Property,Cully,30-06-2023,900,Larceny Offenses,All Other Larceny,45.56275584,-122.5935369,7665967,698215,30-06-2023,1
5224,2300 BLOCK OF SE 139TH AVE,23-170518,Property,Hazelwood,29-06-2023,502,Vandalism,Vandalism,45.50524509,-122.5209044,7684039,676779,29-06-2023,1
5225,2000 BLOCK OF S RIVER PKWY,23-915114,Property,Downtown,29-06-2023,1844,Larceny Offenses,All Other Larceny,45.50729397,-122.674921,7644586,678551,29-06-2023,1
5226,2500 BLOCK OF NE KILLINGSWORTH ST,23-170426,Property,Concordia,29-06-2023,434,Motor Vehicle Theft,Motor Vehicle Theft,45.56273731,-122.6395581,7654184,698517,29-06-2023,1
5227,2300 BLOCK OF SE TIBBETTS ST,23-915163,Property,Hosford-Abernethy,29-06-2023,130,Larceny Offenses,Theft From Motor Vehicle,45.50048849,-122.6421331,7652923,675846,29-06-2023,1
5228,W BURNSIDE ST / SW ALDER ST,23-915161,Property,Northwest,29-06-2023,2235,Fraud Offenses,Identity Theft,45.52300993,-122.6902223,7640820,684385,29-06-2023,1
5229,1900 BLOCK OF SE ASH ST,23-915158,Property,Buckman East,29-06-2023,1015,Larceny Offenses,All Other Larceny,45.52150124,-122.6460014,7652135,683531,29-06-2023,1
5230,1700 BLOCK OF NE 16TH AVE,23-170774,Property,Irvington,29-06-2023,1352,Larceny Offenses,Shoplifting,45.53539221,-122.6495287,7651366,688618,29-06-2023,1
5231,4500 BLOCK OF SE MCLOUGHLIN BLVD,23-170693,Property,Brooklyn,29-06-2023,1900,Larceny Offenses,Theft From Motor Vehicle,45.49004738,-122.6535083,7649906,672118,29-06-2023,1
5232,5700 BLOCK OF N WILLIAMS AVE,23-171006,Property,Humboldt,29-06-2023,1900,Motor Vehicle Theft,Motor Vehicle Theft,45.56451741,-122.666838,7647217,699352,29-06-2023,1
5233,4500 BLOCK OF SE MCLOUGHLIN BLVD,23-170693,Property,Brooklyn,29-06-2023,1900,Fraud Offenses,Credit Card/ATM Fraud,45.49004738,-122.6535083,7649906,672118,29-06-2023,1
5234,2600 BLOCK OF SE 122ND AVE,23-915246,Property,Powellhurst-Gilbert,29-06-2023,1905,Fraud Offenses,Credit Card/ATM Fraud,45.50275228,-122.5376158,7679733,675978,29-06-2023,1
5235,2400 BLOCK OF NE BROADWAY,23-915189,Property,Sullivan's Gulch,29-06-2023,1715,Larceny Offenses,Theft From Building,45.53511637,-122.6406408,7653640,688457,29-06-2023,1
5236,12100 BLOCK OF NE GLISAN ST,23-170811,Property,Hazelwood,29-06-2023,700,Motor Vehicle Theft,Motor Vehicle Theft,45.52624825,-122.5382249,7679793,684546,29-06-2023,1
5237,2400 BLOCK OF SE DIVISION ST,23-170672,Property,Hosford-Abernethy,29-06-2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.50476297,-122.6408156,7653302,677395,29-06-2023,2
5238,2000 BLOCK OF SE CLINTON ST,23-170459,Property,Hosford-Abernethy,29-06-2023,558,Burglary,Burglary,45.50335177,-122.6451323,7652182,676910,29-06-2023,1
5239,2300 BLOCK OF NE 51ST AVE,23-170666,Property,Rose City Park,29-06-2023,700,Motor Vehicle Theft,Motor Vehicle Theft,45.53941277,-122.6109786,7661279,689823,29-06-2023,1
5240,2300 BLOCK OF NE OREGON ST,23-915181,Property,Kerns,29-06-2023,1800,Vandalism,Vandalism,45.52853298,-122.6418954,7653255,686066,29-06-2023,1
5241,1800 BLOCK OF SW SKYLINE BLVD,23-170431,Property,Sylvan-Highlands,29-06-2023,445,Robbery,Robbery,45.50978709,-122.7354274,7629105,679883,29-06-2023,1
5242,13800 BLOCK OF SE STARK ST,23-170621,Property,Hazelwood,29-06-2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.51914504,-122.5214616,7684023,681849,29-06-2023,1
5243,12200 BLOCK OF N PARKER AVE,23-170357,Person,Hayden Island,29-06-2023,152,Assault Offenses,Aggravated Assault,45.61187344,-122.6821585,7643761,716718,29-06-2023,1
5244,12500 BLOCK OF SE SALMON ST,23-170480,Property,Mill Park,29-06-2023,1200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.51476248,-122.5345814,7680621,680336,29-06-2023,1
5245,7400 BLOCK OF N LEADBETTER RD,23-170589,Property,St Johns,29-06-2023,730,Larceny Offenses,Theft From Motor Vehicle,45.63038865,-122.7523156,7626003,723959,29-06-2023,1
5246,2400 BLOCK OF NE 27TH AVE,23-915176,Property,Grant Park,29-06-2023,1236,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.54011367,-122.6380728,7654346,690261,29-06-2023,1
5247,2100 BLOCK OF SE CLINTON ST,23-170629,Property,Hosford-Abernethy,29-06-2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.50343671,-122.6441094,7652445,676934,29-06-2023,1
5248,2100 BLOCK OF S RIVER PKWY,23-171067,Property,Downtown,29-06-2023,1931,Larceny Offenses,All Other Larceny,45.50677134,-122.6729617,7645083,678347,29-06-2023,1
5249,UNKNOWN ADDRESS,23-915174,Property,,29-06-2023,1000,Vandalism,Vandalism,,,,,29-06-2023,1
5250,2300 BLOCK OF W BURNSIDE ST,23-171041,Property,Goose Hollow,29-06-2023,1901,Larceny Offenses,Shoplifting,45.52354172,-122.6991538,7638537,684641,29-06-2023,1
5251,4500 BLOCK OF SE MCLOUGHLIN BLVD,23-170693,Property,Brooklyn,29-06-2023,1900,Vandalism,Vandalism,45.49004738,-122.6535083,7649906,672118,29-06-2023,1
5252,600 BLOCK OF SW OAK ST,23-170709,Property,Downtown,29-06-2023,1600,Vandalism,Vandalism,45.52183793,-122.6776873,7644020,683871,29-06-2023,1
5253,,23-X5851478,Person,Pearl,29-06-2023,316,Assault Offenses,Simple Assault,,,,,29-06-2023,2
5254,,23-X5851899,Person,Centennial,29-06-2023,2125,Assault Offenses,Simple Assault,,,,,29-06-2023,1
5255,3300 BLOCK OF SE HOLGATE BLVD,23-171227,Property,Reed,29-06-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.49055448,-122.630883,7655711,672149,29-06-2023,1
5256,1400 BLOCK OF NW NORTHRUP ST,23-915257,Property,Pearl,29-06-2023,1810,Larceny Offenses,All Other Larceny,45.53140385,-122.6859905,7641987,687415,29-06-2023,1
5257,SW BROADWAY / SW COLLEGE ST,23-915117,Property,Downtown,29-06-2023,535,Larceny Offenses,Theft From Motor Vehicle,45.51001162,-122.6846793,7642112,679609,29-06-2023,1
5258,1400 BLOCK OF NW MARSHALL ST,23-915254,Property,Pearl,29-06-2023,2000,Larceny Offenses,Theft From Motor Vehicle,45.53069124,-122.6859513,7641990,687155,29-06-2023,1
5259,,23-X5851897,Person,Downtown,29-06-2023,2000,Assault Offenses,Aggravated Assault,,,,,29-06-2023,1
5260,1100 BLOCK OF N HAYDEN MEADOWS DR,23-915234,Property,East Columbia,29-06-2023,1410,Larceny Offenses,Shoplifting,45.59431951,-122.6785559,7644510,710295,29-06-2023,1
5261,SW VISTA AVE / SW MADISON ST,23-915184,Property,Goose Hollow,29-06-2023,1450,Vandalism,Vandalism,45.519842,-122.6982143,7638741,683286,29-06-2023,1
5262,5000 BLOCK OF NE 29TH AVE,23-170373,Property,Concordia,29-06-2023,247,Vandalism,Vandalism,45.55934773,-122.6359348,7655079,697257,29-06-2023,1
5263,3700 BLOCK OF SW 38TH AVE,23-170758,Property,Bridlemile,29-06-2023,1338,Burglary,Burglary,45.49622272,-122.7162803,7633876,674804,29-06-2023,1
5264,NW 16TH AVE / NW LOVEJOY ST,23-915150,Property,Northwest,29-06-2023,2100,Vandalism,Vandalism,45.52999281,-122.6874742,7641593,686911,29-06-2023,1
5265,2800 BLOCK OF N GANTENBEIN AVE,23-915255,Property,Eliot,29-06-2023,1930,Vandalism,Vandalism,45.54309414,-122.6695069,7646324,691562,29-06-2023,1
5266,10200 BLOCK OF NE CASCADES PKWY,23-915239,Property,,29-06-2023,1529,Larceny Offenses,Shoplifting,45.57239912,-122.5567585,7675473,701488,29-06-2023,1
5267,6700 BLOCK OF NE MALLORY AVE,23-170649,Property,Piedmont,29-06-2023,1121,Fraud Offenses,Wire Fraud,45.57149034,-122.6634128,7648162,701870,29-06-2023,1
5268,1100 BLOCK OF NE 102ND AVE,23-915256,Property,Hazelwood,29-06-2023,1210,Vandalism,Vandalism,45.53095506,-122.5581456,7674733,686391,29-06-2023,1
5269,5800 BLOCK OF SE 122ND AVE,23-915155,Property,Powellhurst-Gilbert,29-06-2023,900,Burglary,Burglary,45.48028992,-122.5373485,7679595,667789,29-06-2023,1
5270,11500 BLOCK OF NE YACHT HARBOR DR,23-915169,Property,Hayden Island,29-06-2023,2315,Burglary,Burglary,45.60516741,-122.6603826,7649266,714124,29-06-2023,1
5271,3300 BLOCK OF SE DIVISION ST,23-915177,Property,Richmond,29-06-2023,430,Vandalism,Vandalism,45.50474918,-122.630046,7656062,677317,29-06-2023,1
5272,6400 BLOCK OF SE TENINO ST,23-170416,Property,Brentwood-Darlington,29-06-2023,400,Larceny Offenses,Theft From Motor Vehicle,45.46419611,-122.5970651,7664131,662315,29-06-2023,1
5273,300 BLOCK OF SE 2ND AVE,23-170612,Property,Buckman West,29-06-2023,1126,Vandalism,Vandalism,45.52044531,-122.6638291,7647557,683268,29-06-2023,1
5274,,23-X5851867,Person,Pearl,29-06-2023,1350,Assault Offenses,Intimidation,,,,,29-06-2023,1
5275,,23-X5851865,Person,Portsmouth,29-06-2023,1022,Assault Offenses,Aggravated Assault,,,,,29-06-2023,1
5276,SE MITCHELL ST / SE 65TH AVE,23-170559,Property,Mt Scott-Arleta,29-06-2023,911,Motor Vehicle Theft,Motor Vehicle Theft,45.48545734,-122.5965705,7664459,670061,29-06-2023,1
5277,,23-X5851865,Property,Portsmouth,29-06-2023,1022,Burglary,Burglary,,,,,29-06-2023,1
5278,200 BLOCK OF SE ALDER ST,23-170344,Person,Buckman West,29-06-2023,1200,Assault Offenses,Aggravated Assault,45.51799194,-122.6632751,7647675,682370,29-06-2023,1
5279,1100 BLOCK OF N HAYDEN MEADOWS DR,23-170682,Property,East Columbia,29-06-2023,1003,Larceny Offenses,Shoplifting,45.59431951,-122.6785559,7644510,710295,29-06-2023,1
5280,1100 BLOCK OF N HAYDEN MEADOWS DR,23-170738,Property,East Columbia,29-06-2023,1810,Larceny Offenses,Shoplifting,45.59431951,-122.6785559,7644510,710295,29-06-2023,1
5281,200 BLOCK OF SW ALDER ST,23-170626,Society,Downtown,29-06-2023,1042,Weapon Law Violations,Weapons Law Violations,45.51883058,-122.6746604,7644766,682754,29-06-2023,1
5282,,23-X5851869,Person,Powellhurst-Gilbert,29-06-2023,1629,Assault Offenses,Simple Assault,,,,,29-06-2023,1
5283,3000 BLOCK OF NE WEIDLER ST,23-915166,Property,Sullivan's Gulch,29-06-2023,1500,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.53441989,-122.6345713,7655188,688162,29-06-2023,1
5284,3800 BLOCK OF NE 68TH AVE,23-170572,Property,Roseway,29-06-2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.550715,-122.5931981,7665940,693824,29-06-2023,1
5285,,23-X5851871,Person,Portsmouth,29-06-2023,1648,Assault Offenses,Simple Assault,,,,,29-06-2023,1
5286,8100 BLOCK OF SW BARBUR BLVD,23-171232,Property,Hillsdale,29-06-2023,2320,Motor Vehicle Theft,Motor Vehicle Theft,45.46610438,-122.6970288,7638512,663692,29-06-2023,1
5287,16800 BLOCK OF SE POWELL BLVD,23-915183,Property,Centennial,29-06-2023,1205,Larceny Offenses,All Other Larceny,45.49327147,-122.4895211,7691975,672215,29-06-2023,1
5288,SE HAWTHORNE BLVD / SE 34TH AVE,23-170284,Society,Sunnyside,29-06-2023,7,Weapon Law Violations,Weapons Law Violations,45.51205866,-122.6295787,7656252,679978,29-06-2023,1
5289,SE HAWTHORNE BLVD / SE 34TH AVE,23-170284,Person,Sunnyside,29-06-2023,7,Assault Offenses,Aggravated Assault,45.51205866,-122.6295787,7656252,679978,29-06-2023,2
5290,,23-X5851876,Property,Madison South,29-06-2023,2330,Vandalism,Vandalism,,,,,29-06-2023,1
5291,700 BLOCK OF N WEBSTER ST,23-170570,Property,Humboldt,29-06-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.55968131,-122.674492,7645210,697642,29-06-2023,1
5292,700 BLOCK OF N KILLINGSWORTH ST,23-915162,Property,Humboldt,29-06-2023,1704,Vandalism,Vandalism,45.56272742,-122.6744564,7645249,698752,29-06-2023,1
5293,6100 BLOCK OF SE POWELL BLVD,23-915157,Property,South Tabor,29-06-2023,935,Burglary,Burglary,45.49750942,-122.5999101,7663717,674476,29-06-2023,1
5294,1200 BLOCK OF N FARRAGUT ST,23-680559,Property,Kenton,29-06-2023,14,Vandalism,Vandalism,45.57926967,-122.6796266,7644088,704817,29-06-2023,1
5295,SE 12TH AVE / SE MALL ST,23-915233,Property,Brooklyn,29-06-2023,900,Larceny Offenses,Theft From Motor Vehicle,45.49141414,-122.6531934,7650000,672614,29-06-2023,1
5296,3500 BLOCK OF S BOND AVE,23-915186,Property,South Portland,29-06-2023,1100,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.49748695,-122.6707729,7645553,674948,29-06-2023,1
5297,600 BLOCK OF NW 10TH AVE,23-171019,Property,Pearl,29-06-2023,1855,Larceny Offenses,Shoplifting,45.52760963,-122.681211,7643174,685999,29-06-2023,1
5298,10400 BLOCK OF N OSWEGO AVE,23-915175,Property,St Johns,29-06-2023,1305,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.60072314,-122.7438007,7627880,713086,29-06-2023,1
5299,4300 BLOCK OF NE 133RD AVE,23-171221,Property,Argay,29-06-2023,545,Motor Vehicle Theft,Motor Vehicle Theft,45.55434865,-122.5258982,7683208,694709,29-06-2023,1
5300,1200 BLOCK OF N FARRAGUT ST,23-170151,Property,Kenton,29-06-2023,14,Vandalism,Vandalism,45.57926967,-122.6796266,7644088,704817,29-06-2023,1
5301,3500 BLOCK OF NE COLUMBIA BLVD,23-915124,Property,Concordia,29-06-2023,12,Burglary,Burglary,45.57300036,-122.6273232,7657415,702175,29-06-2023,1
5302,600 BLOCK OF NW 10TH AVE,23-170910,Property,Pearl,29-06-2023,1635,Larceny Offenses,Shoplifting,45.52760963,-122.681211,7643174,685999,29-06-2023,1
5303,8300 BLOCK OF N IVANHOE ST,23-915245,Property,Cathedral Park,29-06-2023,1600,Larceny Offenses,Shoplifting,45.58875845,-122.7529013,7625430,708790,29-06-2023,1
5304,N ST JOHNS AVE / N LOMBARD ST,23-170809,Person,St Johns,29-06-2023,1420,Assault Offenses,Aggravated Assault,45.59646813,-122.7605982,7623539,711655,29-06-2023,1
5305,3500 BLOCK OF NE 10TH AVE,23-915194,Property,Sabin,29-06-2023,1910,Vandalism,Vandalism,45.54855957,-122.6556465,7649927,693459,29-06-2023,1
5306,8000 BLOCK OF NE ALBERTA ST,23-915151,Property,Cully,29-06-2023,835,Burglary,Burglary,45.55917805,-122.579638,7669492,696819,29-06-2023,1
5307,3500 BLOCK OF N INTERSTATE AVE,23-915238,Property,Overlook,29-06-2023,1100,Fraud Offenses,Credit Card/ATM Fraud,45.54821321,-122.680847,7643470,693506,29-06-2023,1
5308,11600 BLOCK OF NE HALSEY ST,23-170953,Property,Hazelwood,29-06-2023,1727,Larceny Offenses,Theft From Building,45.53348061,-122.5429933,7678638,687213,29-06-2023,1
5309,4300 BLOCK OF NE CULLY BLVD,23-915237,Property,Cully,29-06-2023,2051,Larceny Offenses,Shoplifting,45.55424517,-122.6018143,7663767,695168,29-06-2023,1
5310,600 BLOCK OF NW 6TH AVE,23-170410,Property,Old Town/Chinatown,29-06-2023,349,Vandalism,Vandalism,45.52769602,-122.6766551,7644342,685999,29-06-2023,1
5311,600 BLOCK OF NW 10TH AVE,23-171088,Property,Pearl,29-06-2023,1957,Larceny Offenses,Shoplifting,45.52760963,-122.681211,7643174,685999,29-06-2023,1
5312,600 BLOCK OF NW 10TH AVE,23-915153,Property,Pearl,29-06-2023,848,Larceny Offenses,Shoplifting,45.52760963,-122.681211,7643174,685999,29-06-2023,1
5313,SE 126TH AVE / SE STARK ST,23-170324,Society,Hazelwood,29-06-2023,134,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.51904633,-122.5338959,7680836,681893,29-06-2023,1
5314,HAWTHORNE BRG / SPRINGWATER ON THE WILLAMETTE TRL,23-170490,Person,Hosford-Abernethy,29-06-2023,737,Assault Offenses,Aggravated Assault,45.51248358,-122.6680291,7646403,680395,29-06-2023,1
5315,SE 122ND AVE / SE ASH ST,23-170828,Property,Hazelwood,29-06-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.52116719,-122.5377615,7679865,682691,29-06-2023,1
5316,8000 BLOCK OF SE ASPEN SUMMIT DR,23-170681,Property,Lents,29-06-2023,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.46467683,-122.5631186,7672842,662266,29-06-2023,1
5317,NB I405 FWY TO / HWY 30 EXIT,23-171229,Person,Pearl,29-06-2023,2312,Assault Offenses,Aggravated Assault,45.5314225,-122.6868852,7641758,687428,29-06-2023,1
5318,600 BLOCK OF SW 3RD AVE,23-915172,Property,Downtown,29-06-2023,1800,Larceny Offenses,Theft From Motor Vehicle,45.51860233,-122.6754127,7644571,682676,29-06-2023,1
5319,4100 BLOCK OF NE MARTIN LUTHER KING JR BLVD,23-915236,Property,King,29-06-2023,1500,Vandalism,Vandalism,45.55362763,-122.6616071,7648450,695347,29-06-2023,1
5320,10300 BLOCK OF NE HALSEY ST,23-170783,Property,Hazelwood,29-06-2023,200,Burglary,Burglary,45.53348734,-122.5560006,7675306,687300,29-06-2023,1
5321,NW HOYT ST / NW 11TH AVE,23-915242,Property,Pearl,29-06-2023,1615,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.52723551,-122.682274,7642898,685870,29-06-2023,1
5322,,23-X5852639,Property,St Johns,29-06-2023,1816,Robbery,Robbery,,,,,29-06-2023,1
5323,400 BLOCK OF SW KINGSTON AVE,23-915179,Property,Arlington Heights,29-06-2023,1315,Larceny Offenses,Theft From Motor Vehicle,45.52036252,-122.7067,7636572,683535,29-06-2023,1
